cluster_id,headline,published_at,urls,sources,tickers,topics
59495c89bd6a811f2f230a3eddd14dc0,Lotofácil 3495: confira as 15 dezenas sorteadas nesta quarta (24),2025-09-25T00:34:00+00:00,https://www.infomoney.com.br/consumo/lotofacil-3495-confira-as-15-dezenas-sorteadas-nesta-quarta-24/,infomoney.com.br,,
8dc0f45132ab1588c8b39088f2ab1700,Trump diz que Serviço Secreto investiga “sabotagem” da escada rolante na ONU,2025-09-25T00:26:52+00:00,https://www.infomoney.com.br/mundo/trump-diz-que-servico-secreto-investiga-sabotagem-da-escada-rolante-na-onu/,infomoney.com.br,,sec
653f5657dc903b6a236e6bb1c7e30a3b,Ibama aprova resultado do simulado da Petrobras na Foz do Amazonas e solicita ajustes,2025-09-25T00:19:39+00:00,https://www.infomoney.com.br/mercados/ibama-aprova-resultado-de-simulado-da-petrobras-na-foz-do-amazonas-pede-ajustes/,infomoney.com.br,,petrobras resultado
65db0d58aa108b6c609ebe1892d9bd4e,Confira o resultado da Quina do concurso 6835 desta quarta (24),2025-09-24T23:30:53+00:00,https://www.infomoney.com.br/consumo/confira-o-resultado-da-quina-do-concurso-6835-desta-quarta-24/,infomoney.com.br,,resultado
f261e3dc50b9f154f14760d635197192,Câmara de Belém reconhece Parada LGBTQIA+ como patrimônio imaterial da cidade,2025-09-25T02:15:09+00:00,https://g1.globo.com/pa/para/noticia/2025/09/24/camara-de-belem-reconhece-parada-lgbtqia-como-patrimonio-imaterial-da-cidade.ghtml,g1.globo.com,,
3baaba33992e71457e9ac52acb0a9c50,Ney Matogrosso grava o samba com o qual será homenageado pela Imperatriz Leopoldinense no Carnaval  de 2026,2025-09-25T01:46:55+00:00,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/09/24/ney-matogrosso-grava-o-samba-com-o-qual-sera-homenageado-pela-imperatriz-leopoldinense-no-carnaval-de-2026.ghtml,g1.globo.com,,
c5121ba7b85d7b6bea3d1defdad0e006,Ciclista morre atropelado por moto em rodovia de MS,2025-09-25T01:43:32+00:00,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/09/24/ciclista-morre-atropelado-por-moto-em-rodovia-de-ms.ghtml,g1.globo.com,,
9b085431a0ceb5d07f51de38222bcbff,Quina hoje: resultado do concurso 6835 e números sorteados,2025-09-25T01:37:29+00:00,https://g1.globo.com/loterias/quina/noticia/2025/09/24/quina-hoje-resultado-do-concurso-6835-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
c7c84eae88e6d974aeee34bacc6db015,Temporal causa destelhamentos e deixa moradores sem energia em Alto Garças (MT),2025-09-25T01:32:11+00:00,https://g1.globo.com/mt/mato-grosso/noticia/2025/09/24/temporal-causa-destelhamentos-e-deixa-moradores-sem-energia-em-alto-garcas-mt.ghtml,g1.globo.com,,
dcc34e77b15c8bc4c8978c0721017edf,Drones suspeitos voltam a obrigar autoridades a fechar aeroporto na Dinamarca,2025-09-25T01:22:49+00:00,https://g1.globo.com/mundo/noticia/2025/09/24/drones-suspeitos-voltam-a-obrigar-autoridades-a-fechar-aeroporto-na-dinamarca.ghtml,g1.globo.com,,
8d4b4106c2d0f5dfd6749953e975592f,Amazonas vence 6 categorias no Prêmio Finep e garante vaga na etapa nacional,2025-09-25T01:06:45+00:00,https://g1.globo.com/am/amazonas/noticia/2025/09/24/amazonas-vence-6-categorias-no-premio-finep-e-garante-vaga-na-etapa-nacional.ghtml,g1.globo.com,,
c058e8624243a7e4389b8efeaf1dc717,"Carro é destruído pelo fogo após batida e vítima é socorrida em estado grave na Bandeirantes, em Campinas",2025-09-25T01:01:25+00:00,https://g1.globo.com/sp/campinas-regiao/noticia/2025/09/24/carro-e-destruido-pelo-fogo-apos-batida-e-vitima-e-socorrida-em-estado-grave-na-bandeirantes-em-campinas.ghtml,g1.globo.com,,
572cea8fa774ddea15e98d15c9c5183e,"Festival de cinema a céu aberto em Salvador terá sessão gratuita de filme sobre amizade de Jorge Amado, Dorival Caymmi e Carybé",2025-09-25T00:44:23+00:00,https://g1.globo.com/ba/bahia/noticia/2025/09/24/festival-de-cinema-a-ceu-aberto-em-salvador-tera-sessao-gratuita.ghtml,g1.globo.com,,
5c9f81a594531db65b727edd48ef030b,"Trem da EFMM vai voltar a andar no aniversário de Porto Velho, diz prefeito",2025-09-25T00:43:46+00:00,https://g1.globo.com/ro/rondonia/noticia/2025/09/24/trem-da-efmm-vai-voltar-a-andar-no-aniversario-de-porto-velho-diz-prefeito.ghtml,g1.globo.com,,
d50568662c799b882dfe5049414d094f,Lotomania hoje: resultado do concurso 2827 e números sorteados,2025-09-25T00:35:29+00:00,https://g1.globo.com/loterias/lotomania/noticia/2025/09/24/lotomania-hoje-resultado-do-concurso-2827-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
3d1a3e3c7512de438fe96703929e6d5f,Lotofácil hoje: resultado do concurso 3495 e números sorteados,2025-09-25T00:35:14+00:00,https://g1.globo.com/loterias/lotofacil/noticia/2025/09/24/lotofacil-hoje-resultado-do-concurso-3495-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
b1061bc45a1add06a9d1e984ff050160,Dupla Sena hoje: resultado do concurso 2864 e números sorteados,2025-09-25T00:35:14+00:00,https://g1.globo.com/loterias/dupla-sena/noticia/2025/09/24/dupla-sena-hoje-resultado-do-concurso-2864-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
