cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
58289f26f4d9b048c4e3a043c1093ee9,0.5296,0.6,0.3071,0.4791,0.7876,0.0,0.0,0.85,28.72,DROP
fa3f16cbe5f69fa9e84a2af62e59b483,0.432,0.6,0.555,0.2748,0.6843,0.0,0.0,0.85,28.67,DROP
97bbdb77988154e444c74ee40ad422b4,0.467,0.6,0.3189,0.4146,0.9413,0.0,0.0,0.85,28.63,DROP
46ed858d39955baa9bd860ddc3eeac8f,0.5124,0.6,0.3211,0.4208,0.8266,0.0,0.0,0.85,28.53,DROP
482476d6e782f1908fd5796fe18a60ce,0.5294,0.6,0.0791,0.4776,0.7543,0.0,0.0,0.85,28.46,DROP
3d0af0599f00359dc547922e5597efcd,0.4584,0.6,0.3899,0.3114,0.8905,0.0,0.0,0.85,28.41,DROP
3af273019b3e88ba6039e00844cb9bef,0.5502,0.6,0.2766,0.2808,0.951,0.0,0.0,0.85,28.31,DROP
38411e5adb1eccf7492e8f57ff0ca25a,0.3513,0.88,0.0903,0.4147,0.699,0.0,0.0,0.85,28.19,DROP
f29947b43375f8166e12fb0767a4e53c,0.247,0.88,0.0122,0.463,0.997,0.0,0.0,0.85,28.04,DROP
40c627686bddb9817937686932979f9e,0.5926,0.6,0.3377,0.2499,0.9084,0.0,0.0,0.85,27.98,DROP
5228a19a57a7d72a3f3db57594a5595b,0.5874,0.6,0.08,0.1629,0.8919,0.0,0.0,0.85,27.96,DROP
572cea8fa774ddea15e98d15c9c5183e,0.6506,0.6,0.2351,0.1456,0.9186,0.0,0.0,0.85,27.94,DROP
4b449676505dd933fc9f3b67ecb70e38,0.4545,0.6,0.0162,0.1244,0.6309,0.75,0.0,0.85,27.84,DROP
2fca4fa0a0b2d7e69985dd7d178bb098,0.5433,0.6,0.0194,0.2602,0.9604,0.0,0.0,0.85,27.59,DROP
d8ada3dbc01e0c1e0317dca938ec2c13,0.4472,0.6,0.2564,0.4923,0.8889,0.0,0.0,0.85,27.59,DROP
54a4aa9ead82a996736d7915dc4beff1,0.5619,0.6,0.0718,0.0898,0.9857,0.0,0.0,0.85,27.57,DROP
45385eeb23908dacc64c493243ed88a3,0.4776,0.9,0.008,0.0416,0.8238,0.0,0.0,0.85,27.09,DROP
0cb761b43b488fb2531a738d25ae8366,0.4998,0.6,0.4699,0.0345,0.7117,0.0,0.0,0.85,26.82,DROP
65a38cdf639da22f3042d901f1c42bbc,0.2254,0.88,0.3057,0.0588,0.6801,0.0,0.0,0.85,26.53,DROP
babfa3911c6f2512b5797a686d92e77a,0.2362,0.88,0.0236,0.4495,0.7921,0.0,0.0,0.85,26.19,DROP
6b295dec62ecaf26f79aa6c6529a949e,0.4859,0.6,0.205,0.2506,0.9295,0.9,0.0,0.85,26.18,DROP
b7204817fcc23376f3019307cf0f9fbd,0.2268,0.88,0.2601,0.1365,0.6137,0.0,0.0,0.85,25.87,DROP
23127a42dc51cd5c6d4c620ae0de1d6c,0.1695,0.6,0.3508,0.4476,0.6045,0.0,0.0,0.85,25.44,DROP
c88f886ba1fae46e51dc26488663c075,0.4863,0.6,0.299,0.2863,0.6261,0.0,0.0,0.85,25.31,DROP
42e3d339ef10c40962b3cac13b6776d7,0.2375,0.88,0.0748,0.3939,0.6045,0.0,0.0,0.85,25.02,DROP
8df385533909497f247163efaf71a47d,0.4509,0.6,0.1098,0.3569,0.9635,0.0,0.0,0.85,25.0,DROP
6c7b6d07db5fbfe65c1eda8f365155a5,0.2306,0.6,0.2809,0.2737,0.7285,0.0,0.0,0.85,24.86,DROP
50f1c8c7834b47983540c2f2e2147430,0.1679,0.88,0.0266,0.2259,0.9616,0.0,0.0,0.85,24.62,DROP
421a84e949dd9cbbb4fcab1a68961246,0.2038,0.88,0.0326,0.2197,0.8804,0.0,0.0,0.85,24.59,DROP
62a69218c166ecc8f4f9aa8243516f1e,0.4336,0.6,0.2784,0.0271,0.8627,0.0,0.0,0.85,24.04,DROP
18321d520ad6239b8e1e549cc10263bd,0.5386,0.6,0.0289,0.0227,0.73,0.0,0.0,0.85,23.7,DROP
07f498f6082531c6b69e19f77dcf3d6e,0.5156,0.6,0.0657,0.3006,0.922,0.0,0.0,0.85,23.46,DROP
76a60e49ffa2167bc796b11925d39765,0.456,0.6,0.1092,0.1759,0.9189,0.0,0.0,0.85,23.38,DROP
d6e6cee7e820b62b777abe45d41c5ecd,0.4308,0.6,0.1457,0.0955,0.8937,0.0,0.0,0.85,22.75,DROP
d22c0e9198096bf43c3d44e85605ecaf,0.5098,0.6,0.4516,0.2358,0.9504,0.0,0.0,0.85,21.81,DROP
7fbc666623af2d61fc8fc18b6364d3b7,0.4437,0.6,0.0033,0.2496,0.7618,0.0,0.0,0.85,20.98,DROP
0294a7ed1adf32db20a974490049fa69,0.4289,0.6,0.072,0.1744,0.707,0.0,0.0,0.85,20.82,DROP
f2b6d9d36c8969675ba1b8f12fa53744,0.4278,0.6,0.3578,0.0246,0.8804,0.0,0.0,0.85,20.66,DROP
6e812ec44b6c1edc3008cf0fd09f14f7,0.4266,0.6,0.2558,0.0816,0.8402,0.0,0.0,0.85,17.34,DROP
